"DGUID","srpop21","srpop26","srpop31"
"2021S051235250390",60,90,125
"2021S051235250391",80,105,130
"2021S051235250392",70,110,155
"2021S051235250393",65,100,135
"2021S051235250394",70,105,155
"2021S051235250395",170,225,280
"2021S051235250396",110,160,195
"2021S051235250397",40,60,85
"2021S051235250398",25,65,120
"2021S051235250399",325,435,500
"2021S051235250400",115,160,190
"2021S051235250401",80,105,160
"2021S051235250402",95,120,150
"2021S051235250403",135,175,215
"2021S051235250404",50,70,100
"2021S051235250405",70,95,125
"2021S051235250406",105,160,210
"2021S051235250407",160,195,235
"2021S051235250408",65,95,125
"2021S051235250409",100,135,155
"2021S051235250410",70,95,125
"2021S051235250411",85,120,165
"2021S051235250412",295,340,370
"2021S051235250413",85,120,160
"2021S051235250416",90,130,165
"2021S051235250417",170,205,255
"2021S051235250418",45,60,95
"2021S051235250419",175,230,280
"2021S051235250420",190,255,315
"2021S051235250421",155,195,230
"2021S051235250422",325,395,425
"2021S051235250423",120,175,220
"2021S051235250424",195,215,240
"2021S051235250425",190,235,290
"2021S051235250426",165,210,260
"2021S051235250427",30,45,65
"2021S051235250428",65,90,125
"2021S051235250429",45,70,95
"2021S051235250430",55,85,115
"2021S051235250431",50,85,115
"2021S051235250434",215,280,365
"2021S051235250435",55,80,115
"2021S051235250436",75,115,165
"2021S051235250437",60,100,140
"2021S051235250438",40,60,90
"2021S051235250439",60,90,135
"2021S051235250440",125,165,210
"2021S051235250441",100,130,170
"2021S051235250442",140,200,260
"2021S051235250443",70,95,130
"2021S051235250444",155,230,280
"2021S051235250445",70,100,120
"2021S051235250446",70,100,130
"2021S051235250447",75,90,120
"2021S051235250448",95,150,225
"2021S051235250449",35,65,120
"2021S051235250450",70,105,140
"2021S051235250451",45,60,75
"2021S051235250452",65,90,105
"2021S051235250453",55,100,125
"2021S051235250454",95,130,190
"2021S051235250455",170,235,305
"2021S051235250456",170,225,265
"2021S051235250457",50,55,55
"2021S051235250458",80,115,135
"2021S051235250459",100,155,210
"2021S051235250460",35,60,90
"2021S051235250461",40,60,95
"2021S051235250462",60,95,115
"2021S051235250463",65,95,125
"2021S051235250464",40,60,85
"2021S051235250465",35,60,90
"2021S051235250466",45,85,115
"2021S051235250467",215,310,375
"2021S051235250468",150,180,225
"2021S051235250471",70,100,125
"2021S051235250472",60,90,120
"2021S051235250473",65,100,135
"2021S051235250474",90,140,190
"2021S051235250475",80,110,140
"2021S051235250476",130,150,185
"2021S051235250477",70,110,140
"2021S051235250478",55,90,105
"2021S051235250479",75,115,175
"2021S051235250480",50,85,130
"2021S051235250481",60,80,110
"2021S051235250482",35,60,100
"2021S051235250483",45,70,90
"2021S051235250484",35,75,100
"2021S051235250485",90,130,170
"2021S051235250486",120,150,195
"2021S051235250487",80,110,135
"2021S051235250488",70,105,160
"2021S051235250489",80,110,130
"2021S051235250490",65,85,115
"2021S051235250491",0,0,0
"2021S051235250492",65,85,110
"2021S051235250493",50,85,115
"2021S051235250494",90,115,145
"2021S051235250495",60,95,130
"2021S051235250496",45,55,75
"2021S051235250497",70,110,150
"2021S051235250498",105,145,185
"2021S051235250499",100,145,180
"2021S051235250501",110,140,185
"2021S051235250502",80,105,140
"2021S051235250503",85,110,145
"2021S051235250504",45,75,105
"2021S051235250506",60,90,135
"2021S051235250507",150,185,215
"2021S051235250508",90,135,165
"2021S051235250509",90,125,180
"2021S051235250510",85,120,155
"2021S051235250511",110,150,200
"2021S051235250512",70,95,115
"2021S051235250513",75,105,140
"2021S051235250514",200,270,340
"2021S051235250515",105,140,165
"2021S051235250516",160,230,290
"2021S051235250517",60,80,100
"2021S051235250518",70,100,120
"2021S051235250519",165,210,265
"2021S051235250520",100,150,210
"2021S051235250521",125,160,205
"2021S051235250522",70,85,105
"2021S051235250523",120,155,185
"2021S051235250524",60,75,100
"2021S051235250525",95,120,130
"2021S051235250526",230,295,380
"2021S051235250527",105,140,165
"2021S051235250528",125,155,185
"2021S051235250529",80,100,130
"2021S051235250530",60,90,120
"2021S051235250531",85,110,155
"2021S051235250532",85,125,160
"2021S051235250533",195,260,325
"2021S051235250534",115,145,185
"2021S051235250535",145,185,210
"2021S051235250536",100,140,185
"2021S051235250537",95,140,180
"2021S051235250538",130,180,230
"2021S051235250539",110,170,225
"2021S051235250540",125,180,235
"2021S051235250541",105,145,190
"2021S051235250542",115,150,195
"2021S051235250545",110,135,160
"2021S051235250546",70,105,155
"2021S051235250547",65,90,120
"2021S051235250548",135,170,215
"2021S051235250549",80,125,165
"2021S051235250550",85,120,175
"2021S051235250551",90,130,175
"2021S051235250552",45,75,95
"2021S051235250553",70,105,150
"2021S051235250554",70,90,120
"2021S051235250555",70,100,125
"2021S051235250556",90,130,170
"2021S051235250557",95,135,175
"2021S051235250558",85,115,155
"2021S051235250559",105,135,165
"2021S051235250560",280,330,360
"2021S051235250561",70,100,130
"2021S051235250562",105,165,210
"2021S051235250563",70,110,165
"2021S051235250564",130,185,225
"2021S051235250565",135,175,235
"2021S051235250566",80,115,155
"2021S051235250567",130,165,205
"2021S051235250568",125,175,225
"2021S051235250569",125,150,180
"2021S051235250570",135,165,195
"2021S051235250571",265,305,330
"2021S051235250572",130,180,240
"2021S051235250573",230,315,430
"2021S051235250574",95,125,160
"2021S051235250578",55,100,165
"2021S051235250579",55,95,135
"2021S051235250580",30,50,75
"2021S051235250581",85,140,215
"2021S051235250582",85,125,170
"2021S051235250583",30,85,160
"2021S051235250585",85,110,170
"2021S051235250586",175,280,405
"2021S051235250587",80,110,135
"2021S051235250588",105,150,190
"2021S051235250589",105,175,250
"2021S051235250590",75,110,145
"2021S051235250591",110,170,240
"2021S051235250592",95,150,185
"2021S051235250593",190,210,240
"2021S051235250594",140,180,225
"2021S051235250595",110,130,160
"2021S051235250596",90,130,170
"2021S051235250597",85,110,130
"2021S051235250598",65,95,130
"2021S051235250599",225,260,290
"2021S051235250600",55,75,100
"2021S051235250601",275,335,365
"2021S051235250602",210,240,260
"2021S051235250603",135,185,235
"2021S051235250604",120,160,190
"2021S051235250605",65,85,105
"2021S051235250606",160,200,245
"2021S051235250607",85,125,165
"2021S051235250608",40,50,75
"2021S051235250609",75,115,150
"2021S051235250610",100,130,170
"2021S051235250611",60,95,120
"2021S051235250612",60,80,125
"2021S051235250613",110,160,220
"2021S051235250614",65,95,125
"2021S051235250615",90,115,145
"2021S051235250616",30,40,60
"2021S051235250617",75,100,120
"2021S051235250618",40,70,95
"2021S051235250619",80,120,165
"2021S051235250620",60,105,140
"2021S051235250621",145,195,250
"2021S051235250622",45,60,90
"2021S051235250623",100,140,165
